Date,B2_LST
04/04/2015 10:30,-9999
05/04/2015 10:30,8.1676721572876
06/04/2015 10:30,10.0428037643433
07/04/2015 10:30,11.8131341934204
08/04/2015 10:30,17.5367050170898
09/04/2015 10:30,21.6895236968994
10/04/2015 10:30,19.1176910400391
11/04/2015 10:30,-9999
12/04/2015 10:30,-9999
13/04/2015 10:30,14.9329433441162
15/04/2015 10:30,18.6049919128418
16/04/2015 10:30,-9999
18/04/2015 10:30,-9999
19/04/2015 10:30,17.2718868255615
20/04/2015 10:30,15.8399620056152
21/04/2015 10:30,20.7534694671631
22/04/2015 10:30,24.4250411987305
23/04/2015 10:30,22.3335380554199
24/04/2015 10:30,20.9559688568115
26/04/2015 10:30,-9999
29/04/2015 10:30,-9999
30/04/2015 10:30,-9999
02/05/2015 10:30,14.5888843536377
05/05/2015 10:30,-9999
06/05/2015 10:30,-9999
07/05/2015 10:30,21.4184303283691
08/05/2015 10:30,22.7078094482422
11/05/2015 10:30,23.1739292144775
14/05/2015 10:30,23.7099132537842
16/05/2015 10:30,19.7437133789062
17/05/2015 10:30,20.43577003479
18/05/2015 10:30,20.8542709350586
21/05/2015 10:30,-9999
24/05/2015 10:30,-9999
25/05/2015 10:30,15.1506519317627
26/05/2015 10:30,-9999
27/05/2015 10:30,17.2887954711914
30/05/2015 10:30,10.8131618499756
31/05/2015 10:30,-9999
02/06/2015 10:30,-9999
03/06/2015 10:30,24.4546203613281
04/06/2015 10:30,-9999
05/06/2015 10:30,27.2166538238525
06/06/2015 10:30,-9999
07/06/2015 10:30,26.4155235290527
08/06/2015 10:30,-9999
09/06/2015 10:30,-9999
10/06/2015 10:30,22.0154457092285
11/06/2015 10:30,-9999
12/06/2015 10:30,21.9486923217773
13/06/2015 10:30,-9999
14/06/2015 10:30,-9999
17/06/2015 10:30,17.0139274597168
19/06/2015 10:30,-9999
20/06/2015 10:30,7.30098962783813
21/06/2015 10:30,-9999
23/06/2015 10:30,17.9953346252441
24/06/2015 10:30,20.6034336090088
26/06/2015 10:30,24.8631038665771
28/06/2015 10:30,25.5193786621094
30/06/2015 10:30,27.9963684082031
01/07/2015 10:30,26.8959369659424
02/07/2015 10:30,28.9495010375977
03/07/2015 10:30,22.4656867980957
04/07/2015 10:30,27.6004962921143
05/07/2015 10:30,28.8626098632812
06/07/2015 10:30,27.7913379669189
07/07/2015 10:30,30.0700950622559
08/07/2015 10:30,-9999
09/07/2015 10:30,23.7965621948242
10/07/2015 10:30,24.6787700653076
11/07/2015 10:30,26.6106472015381
12/07/2015 10:30,29.0662231445312
13/07/2015 10:30,-9999
14/07/2015 10:30,29.834997177124
16/07/2015 10:30,29.3701915740967
17/07/2015 10:30,24.3135375976562
18/07/2015 10:30,-9999
19/07/2015 10:30,26.6230640411377
20/07/2015 10:30,28.0451145172119
21/07/2015 10:30,27.2602672576904
22/07/2015 10:30,26.8426704406738
23/07/2015 10:30,23.957691192627
24/07/2015 10:30,-9999
25/07/2015 10:30,-9999
26/07/2015 10:30,-9999
27/07/2015 10:30,21.0714836120605
30/07/2015 10:30,24.9129238128662
31/07/2015 10:30,21.7675457000732
03/08/2015 10:30,27.0408973693848
04/08/2015 10:30,25.6817417144775
05/08/2015 10:30,24.9694881439209
06/08/2015 10:30,25.0065422058105
07/08/2015 10:30,26.874641418457
08/08/2015 10:30,24.7179527282715
09/08/2015 10:30,23.9980182647705
10/08/2015 10:30,25.1399154663086
11/08/2015 10:30,26.0849132537842
12/08/2015 10:30,25.7749576568604
13/08/2015 10:30,27.4066543579102
14/08/2015 10:30,-9999
15/08/2015 10:30,-9999
18/08/2015 10:30,-9999
20/08/2015 10:30,19.3134365081787
21/08/2015 10:30,-9999
22/08/2015 10:30,20.8981971740723
25/08/2015 10:30,15.8358201980591
26/08/2015 10:30,22.1891384124756
27/08/2015 10:30,22.4878540039062
29/08/2015 10:30,26.509952545166
30/08/2015 10:30,26.5776481628418
31/08/2015 10:30,25.4382991790771
01/09/2015 10:30,16.8840999603271
02/09/2015 10:30,-9999
04/09/2015 10:30,18.8085536956787
06/09/2015 10:30,-9999
07/09/2015 10:30,18.5887432098389
08/09/2015 10:30,17.4012203216553
09/09/2015 10:30,19.4741058349609
10/09/2015 10:30,-9999
11/09/2015 10:30,16.5272598266602
12/09/2015 10:30,17.7069396972656
14/09/2015 10:30,-9999
15/09/2015 10:30,-9999
17/09/2015 10:30,-9999
18/09/2015 10:30,21.1511478424072
20/09/2015 10:30,18.4356060028076
21/09/2015 10:30,17.3627414703369
25/09/2015 10:30,14.8185863494873
26/09/2015 10:30,17.8745708465576
27/09/2015 10:30,16.4579887390137
28/09/2015 10:30,16.1950874328613
29/09/2015 10:30,15.2253856658936
30/09/2015 10:30,13.7317781448364
01/10/2015 10:30,11.8138208389282
02/10/2015 10:30,-9999
03/10/2015 10:30,-9999
04/10/2015 10:30,-9999
06/10/2015 10:30,-9999
07/10/2015 10:30,-9999
08/10/2015 10:30,-9999
09/10/2015 10:30,17.1886234283447
10/10/2015 10:30,-9999
11/10/2015 10:30,-9999
12/10/2015 10:30,15.5482769012451
15/10/2015 10:30,-9999
16/10/2015 10:30,-9999
17/10/2015 10:30,-9999
18/10/2015 10:30,-9999
19/10/2015 10:30,-9999
20/10/2015 10:30,11.0259742736816
21/10/2015 10:30,10.395112991333
22/10/2015 10:30,11.4256219863892
23/10/2015 10:30,17.8778705596924
24/10/2015 10:30,14.8537349700928
25/10/2015 10:30,-9999
26/10/2015 10:30,13.9215660095215
27/10/2015 10:30,13.8190603256226
29/10/2015 10:30,-9999
30/10/2015 10:30,14.6751623153687
31/10/2015 10:30,14.4514255523682
03/04/2016 10:30,-9999
04/04/2016 10:30,-9999
05/04/2016 10:30,-9999
06/04/2016 10:30,17.6149101257324
07/04/2016 10:30,15.1027936935425
10/04/2016 10:30,17.9574966430664
11/04/2016 10:30,15.0495500564575
12/04/2016 10:30,10.5443725585938
13/04/2016 10:30,20.3523693084717
14/04/2016 10:30,-9999
15/04/2016 10:30,16.5200881958008
16/04/2016 10:30,-9999
18/04/2016 10:30,-9999
19/04/2016 10:30,14.6072216033936
20/04/2016 10:30,20.2164688110352
21/04/2016 10:30,16.8863201141357
22/04/2016 10:30,20.1916942596436
24/04/2016 10:30,-9999
25/04/2016 10:30,-9999
26/04/2016 10:30,-9999
27/04/2016 10:30,-9999
28/04/2016 10:30,-9999
29/04/2016 10:30,17.4070377349854
30/04/2016 10:30,15.0837135314941
03/05/2016 10:30,-9999
04/05/2016 10:30,16.2994365692139
05/05/2016 10:30,16.583911895752
06/05/2016 10:30,22.2861156463623
07/05/2016 10:30,18.0205993652344
08/05/2016 10:30,23.0157451629639
14/05/2016 10:30,-9999
15/05/2016 10:30,16.5837631225586
16/05/2016 10:30,-9999
17/05/2016 10:30,17.5595951080322
20/05/2016 10:30,20.2780132293701
22/05/2016 10:30,24.9061813354492
24/05/2016 10:30,-9999
25/05/2016 10:30,21.1765174865723
27/05/2016 10:30,11.8497972488403
28/05/2016 10:30,-9999
31/05/2016 10:30,-9999
01/06/2016 10:30,-9999
02/06/2016 10:30,-9999
04/06/2016 10:30,-9999
05/06/2016 10:30,-9999
06/06/2016 10:30,-9999
07/06/2016 10:30,22.3959827423096
10/06/2016 10:30,22.1518287658691
12/06/2016 10:30,-9999
13/06/2016 10:30,-9999
14/06/2016 10:30,-9999
15/06/2016 10:30,9.2855806350708
16/06/2016 10:30,-9999
17/06/2016 10:30,-9999
18/06/2016 10:30,-9999
20/06/2016 10:30,-9999
21/06/2016 10:30,-9999
22/06/2016 10:30,26.2559127807617
23/06/2016 10:30,29.2763080596924
24/06/2016 10:30,28.1492118835449
25/06/2016 10:30,24.922492980957
26/06/2016 10:30,-9999
27/06/2016 10:30,-9999
28/06/2016 10:30,23.8299312591553
29/06/2016 10:30,23.3418388366699
